Genotype,predicted.value,std.error,status
AMADEUS,41.6862094075451,0.362491953094071,Estimable
DOR 390,41.6861697747009,0.362493203478489,Estimable
G40056,41.6861578343873,0.362491895867378,Estimable
G40111,41.6860982695234,0.362491968962964,Estimable
G40287,41.6861697747009,0.362493203478489,Estimable
GCDT_001,41.6861855198258,0.362491847773903,Estimable
GCDT_002,41.686151912872,0.362492008372783,Estimable
GCDT_003,41.686181302296,0.362491743819648,Estimable
GCDT_004,41.6861661737065,0.362491598054523,Estimable
GCDT_005,41.6861697747009,0.362493203478489,Estimable
GCDT_006,41.6862047051739,0.362491977819473,Estimable
GCDT_007,41.6861141116886,0.362491755239542,Estimable
GCDT_008,41.6861750003049,0.362491987161585,Estimable
GCDT_009,41.6861871452561,0.362492049782091,Estimable
GCDT_010,41.6861689339103,0.362492027298333,Estimable
GCDT_011,41.6861884417119,0.362491588068908,Estimable
GCDT_012,41.6861697747009,0.362493203478489,Estimable
GCDT_013,41.6861865975881,0.36249207069902,Estimable
GCDT_014,41.6861721239184,0.362492123189953,Estimable
GCDT_015,41.6862007718283,0.362491745764245,Estimable
GCDT_016,41.6861818515748,0.362491942979506,Estimable
GCDT_017,41.6861276356946,0.362492131001845,Estimable
GCDT_018,41.6862150549189,0.362491922270618,Estimable
GCDT_019,41.6861299456015,0.362492328778624,Estimable
GCDT_020,41.6861018326488,0.362491704255964,Estimable
GCDT_021,41.686172709027,0.362492078219584,Estimable
GCDT_022,41.6861925323463,0.362491885854235,Estimable
GCDT_023,41.6861663558584,0.36249221244762,Estimable
GCDT_024,41.6861574824114,0.362492019201644,Estimable
GCDT_025,41.6861896685333,0.36249150195215,Estimable
GCDT_026,41.6862043013507,0.362491550466178,Estimable
GCDT_027,41.6861092496979,0.362492180678182,Estimable
GCDT_028,41.6861697747009,0.362493203478489,Estimable
GCDT_029,41.6861608479695,0.362491866932485,Estimable
GCDT_030,41.6861666651691,0.36249223196313,Estimable
GCDT_031,41.6860983428109,0.362491640628524,Estimable
GCDT_032,41.6861549132113,0.362492352078539,Estimable
GCDT_033,41.6861576803189,0.362491903418753,Estimable
GCDT_034,41.6861461302633,0.362491633225632,Estimable
GCDT_036,41.6861564581735,0.362491677535544,Estimable
GCDT_037,41.686153146208,0.36249201933325,Estimable
GCDT_038,41.6861734577538,0.362491999473932,Estimable
GCDT_039,41.6861659427001,0.362492020548986,Estimable
GCDT_040,41.6861697747009,0.362493203478489,Estimable
GCDT_041,41.6861285836751,0.362491863854869,Estimable
GCDT_042,41.6861992426802,0.362491583887518,Estimable
GCDT_043,41.6861067307991,0.362491770740007,Estimable
GCDT_044,41.6861724966356,0.362491931700952,Estimable
GCDT_045,41.686184664985,0.362492167125871,Estimable
GCDT_046,41.6861697747009,0.362493203478489,Estimable
GCDT_047,41.6861778201373,0.362492096900672,Estimable
GCDT_048,41.6860998601583,0.36249186920836,Estimable
GCDT_049,41.6861526089497,0.362491871643119,Estimable
GCDT_050,41.6861773874335,0.362491940096412,Estimable
GCDT_051,41.6861949222049,0.362491612111813,Estimable
GCDT_052,41.6861792603784,0.362492217063404,Estimable
GCDT_053,41.6861801105847,0.362492058516175,Estimable
GCDT_054,41.6862069529018,0.362492120324597,Estimable
GCDT_055,41.6861266467991,0.362492158774504,Estimable
GCDT_056,41.6861519585774,0.362492061743758,Estimable
GCDT_057,41.6861554296316,0.362492077139177,Estimable
GCDT_058,41.6862089898082,0.362491971568088,Estimable
GCDT_059,41.6862086031629,0.36249173282572,Estimable
GCDT_060,41.6861417534904,0.362491980154213,Estimable
GCDT_061,41.6861384020328,0.362491995759404,Estimable
GCDT_062,41.6861784734061,0.362491954372381,Estimable
GCDT_063,41.6861697747009,0.362493203478489,Estimable
GCDT_064,41.6862010552966,0.36249159171248,Estimable
GCDT_065,41.6862049274192,0.362492286996537,Estimable
GCDT_066,41.6861902854323,0.362491821281708,Estimable
GCDT_067,41.6861755191393,0.362492323986613,Estimable
GCDT_068,41.6861897335944,0.362492095994071,Estimable
GCDT_069,41.6861983806828,0.362491956514681,Estimable
GCDT_070,41.6861495338205,0.362491848729593,Estimable
GCDT_071,41.6861697747009,0.362493203478489,Estimable
GCDT_072,41.6861408656522,0.362492144976042,Estimable
GCDT_073,41.6861989961114,0.36249191275575,Estimable
GCDT_074,41.6861607906873,0.362492261093327,Estimable
GCDT_075,41.6861672109658,0.362491957280987,Estimable
GCDT_076,41.6862256216651,0.362492531800475,Estimable
GCDT_077,41.6861519741258,0.362492178304667,Estimable
GCDT_078,41.6861699559839,0.362492404942367,Estimable
GCDT_079,41.6861741351923,0.36249226163219,Estimable
GCDT_080,41.6861616550937,0.362491451460427,Estimable
GCDT_081,41.6862009788391,0.362492213080314,Estimable
GCDT_082,41.686159948118,0.362492033599205,Estimable
GCDT_083,41.6861723038658,0.362492069256678,Estimable
GCDT_084,41.686197098822,0.362491914028556,Estimable
GCDT_085,41.6861351823255,0.362491809960529,Estimable
GCDT_086,41.6861684335631,0.362492332757026,Estimable
GCDT_087,41.6861477172547,0.362491993220503,Estimable
GCDT_088,41.6861697747009,0.362493203478489,Estimable
GCDT_089,41.686186552245,0.362492256994228,Estimable
GCDT_090,41.686137235022,0.362491831839935,Estimable
GCDT_091,41.6861684146396,0.362491898337942,Estimable
GCDT_092,41.6861476059718,0.362492567648213,Estimable
GCDT_093,41.6861828194081,0.36249217533489,Estimable
GCDT_094,41.686177837078,0.36249238208798,Estimable
GCDT_095,41.6861196395071,0.3624918443599,Estimable
GCDT_096,41.68620277362,0.362491703889307,Estimable
GCDT_097,41.6861826436104,0.362492280262599,Estimable
GCDT_098,41.6861517238118,0.362491702975089,Estimable
GCDT_099,41.6861946426745,0.362492132582399,Estimable
GCDT_100,41.6861656508553,0.362492029332529,Estimable
GCDT_101,41.6861681809815,0.362491890430926,Estimable
GCDT_102,41.6861383849492,0.362491704100101,Estimable
GCDT_103,41.686193799454,0.362491953568314,Estimable
GCDT_104,41.6861617522872,0.362492354790032,Estimable
GCDT_105,41.6861744273185,0.362491735098216,Estimable
GCDT_106,41.6861970762472,0.362492343456296,Estimable
GCDT_107,41.6861834789916,0.362491785601691,Estimable
GCDT_108,41.6861999567278,0.36249154075627,Estimable
GCDT_109,41.686101082583,0.362492278391009,Estimable
GCDT_110,41.6861692335379,0.362492127291349,Estimable
GCDT_111,41.6861822801425,0.362491986581778,Estimable
GCDT_112,41.6861777473584,0.362491992978787,Estimable
GCDT_113,41.6861343339515,0.362491869686324,Estimable
GCDT_114,41.6861574549307,0.362491785602081,Estimable
GCDT_115,41.6861592103035,0.362491706287633,Estimable
GCDT_116,41.6861479535417,0.362491892486351,Estimable
GCDT_117,41.6861718375032,0.362491926918127,Estimable
GCDT_118,41.6861324066537,0.362492167284815,Estimable
GCDT_119,41.6861494907507,0.362491948884203,Estimable
GCDT_120,41.6861944227432,0.362492002511267,Estimable
GCDT_121,41.6861865103361,0.362492020493889,Estimable
GCDT_122,41.6861572906295,0.362491862157422,Estimable
GCDT_123,41.6861587919209,0.362492017308786,Estimable
GCDT_124,41.686166518488,0.362492308539201,Estimable
GCDT_125,41.6861439026165,0.362491623596401,Estimable
GCDT_126,41.6861935370356,0.362491834535128,Estimable
GCDT_127,41.6862065587521,0.362491968858598,Estimable
GCDT_128,41.6861507971488,0.362492091535521,Estimable
