Genotype,predicted.value,std.error,status
AMADEUS,41.2156653021086,0.299805749798368,Estimable
DOR 390,41.2156649919898,0.299805750808972,Estimable
G40056,41.2156651721416,0.299805751045873,Estimable
G40111,41.2156647270959,0.299805750384398,Estimable
G40287,41.2156651352989,0.299805752086555,Estimable
GCDT_001,41.2156650555645,0.299805749967639,Estimable
GCDT_002,41.2156646298292,0.299805750932006,Estimable
GCDT_003,41.2156646367716,0.299805750080328,Estimable
GCDT_004,41.2156647536035,0.299805747260088,Estimable
GCDT_005,41.2156647825984,0.299805749787221,Estimable
GCDT_006,41.215664648066,0.299805751033852,Estimable
GCDT_007,41.2156648982047,0.299805748235651,Estimable
GCDT_008,41.2156646270192,0.29980575261558,Estimable
GCDT_009,41.2156649164508,0.299805747706807,Estimable
GCDT_010,41.215664760689,0.299805748610693,Estimable
GCDT_011,41.2156651130292,0.299805752038359,Estimable
GCDT_012,41.2156648483263,0.299805752171034,Estimable
GCDT_013,41.2156650795432,0.299805753813313,Estimable
GCDT_014,41.2156647707853,0.299805747852434,Estimable
GCDT_015,41.2156651056987,0.29980575030848,Estimable
GCDT_016,41.2156651749822,0.299805750118342,Estimable
GCDT_017,41.2156647467879,0.299805751416957,Estimable
GCDT_018,41.2156648726173,0.299805748566223,Estimable
GCDT_019,41.21566464578,0.299805752229496,Estimable
GCDT_020,41.2156648302159,0.29980575004912,Estimable
GCDT_021,41.2156647800225,0.299805748297987,Estimable
GCDT_022,41.2156647869436,0.299805751937395,Estimable
GCDT_023,41.2156644472424,0.299805750280128,Estimable
GCDT_024,41.2156648788957,0.29980575113189,Estimable
GCDT_025,41.2156647136494,0.299805749593522,Estimable
GCDT_026,41.2156651286476,0.299805752279801,Estimable
GCDT_027,41.2156649193532,0.299805749409571,Estimable
GCDT_028,41.2156651570664,0.299805753667019,Estimable
GCDT_029,41.2156651554219,0.299805751427569,Estimable
GCDT_030,41.2156648848773,0.29980575062887,Estimable
GCDT_031,41.2156651788424,0.299805751085657,Estimable
GCDT_032,41.2156649600975,0.299805751562824,Estimable
GCDT_033,41.2156650085754,0.299805750183146,Estimable
GCDT_034,41.2156645854527,0.299805752454853,Estimable
GCDT_035,41.2156651080022,0.299805748114237,Estimable
GCDT_036,41.2156650142866,0.299805750411088,Estimable
GCDT_037,41.2156651551104,0.299805750159979,Estimable
GCDT_038,41.2156649306147,0.299805753708674,Estimable
GCDT_039,41.2156647284014,0.299805751273785,Estimable
GCDT_040,41.2156646639983,0.299805750664478,Estimable
GCDT_041,41.2156649187473,0.299805751353548,Estimable
GCDT_042,41.2156646036291,0.299805751393361,Estimable
GCDT_043,41.2156648488587,0.299805749127172,Estimable
GCDT_044,41.2156650910316,0.299805750035459,Estimable
GCDT_045,41.2156650830458,0.299805748874246,Estimable
GCDT_046,41.2156647941318,0.299805750698579,Estimable
GCDT_047,41.2156650743027,0.299805749366342,Estimable
GCDT_048,41.2156650426981,0.299805750864813,Estimable
GCDT_049,41.2156649918741,0.299805749409649,Estimable
GCDT_050,41.2156645580261,0.299805751443626,Estimable
GCDT_051,41.2156650499569,0.299805751659603,Estimable
GCDT_052,41.215664737956,0.299805750809775,Estimable
GCDT_053,41.2156652673458,0.299805749671124,Estimable
GCDT_054,41.2156649003833,0.299805754029446,Estimable
GCDT_055,41.2156647187887,0.299805751103464,Estimable
GCDT_056,41.2156649211778,0.299805758319344,Estimable
GCDT_057,41.215664531556,0.299805751188988,Estimable
GCDT_058,41.215665083036,0.299805748281707,Estimable
GCDT_059,41.215665102246,0.299805749835297,Estimable
GCDT_060,41.2156649211778,0.299805758319344,Estimable
GCDT_061,41.2156650757217,0.299805753849322,Estimable
GCDT_062,41.2156647023712,0.299805750897014,Estimable
GCDT_063,41.2156650745322,0.299805751167969,Estimable
GCDT_064,41.2156650976592,0.299805750082018,Estimable
GCDT_065,41.2156648210993,0.299805750135399,Estimable
GCDT_066,41.2156650061023,0.299805751025011,Estimable
GCDT_067,41.2156649234567,0.299805751264352,Estimable
GCDT_068,41.2156649198095,0.299805749878512,Estimable
GCDT_069,41.2156650553871,0.299805749271736,Estimable
GCDT_070,41.2156647439101,0.29980574960706,Estimable
GCDT_071,41.2156652309821,0.299805749658178,Estimable
GCDT_072,41.2156647652663,0.29980574903651,Estimable
GCDT_073,41.2156650723495,0.299805750920488,Estimable
GCDT_074,41.2156648414001,0.299805749845547,Estimable
GCDT_075,41.2156649334857,0.299805747710192,Estimable
GCDT_076,41.2156650274952,0.299805748125308,Estimable
GCDT_077,41.2156648615689,0.299805750778411,Estimable
GCDT_078,41.215664962591,0.299805751400629,Estimable
GCDT_079,41.2156648252534,0.29980575090161,Estimable
GCDT_080,41.2156652519416,0.299805748752853,Estimable
GCDT_081,41.2156649211778,0.299805758319344,Estimable
GCDT_082,41.2156650841592,0.299805751628725,Estimable
GCDT_083,41.2156650586281,0.299805751173269,Estimable
GCDT_084,41.2156652125274,0.299805752030743,Estimable
GCDT_085,41.2156645290889,0.299805749023539,Estimable
GCDT_086,41.2156648863416,0.29980575136901,Estimable
GCDT_087,41.2156647105419,0.299805752309202,Estimable
GCDT_088,41.215664834778,0.29980574913721,Estimable
GCDT_089,41.215665226477,0.299805753663472,Estimable
GCDT_090,41.2156651483569,0.299805750934145,Estimable
GCDT_091,41.2156648292234,0.299805749263126,Estimable
GCDT_092,41.2156649211778,0.299805758319344,Estimable
GCDT_093,41.2156649022427,0.299805751088088,Estimable
GCDT_094,41.2156650523687,0.299805750001117,Estimable
GCDT_095,41.2156647522372,0.299805747472586,Estimable
GCDT_096,41.2156646825971,0.299805751274305,Estimable
GCDT_097,41.2156648455817,0.299805750072716,Estimable
GCDT_098,41.2156649805141,0.299805753355522,Estimable
GCDT_099,41.2156652047822,0.299805748937217,Estimable
GCDT_100,41.2156649211778,0.299805758319344,Estimable
GCDT_101,41.215664933549,0.299805751828082,Estimable
GCDT_102,41.2156650815809,0.299805750448325,Estimable
GCDT_103,41.2156653288817,0.299805749429818,Estimable
GCDT_104,41.2156648061095,0.299805750778747,Estimable
GCDT_105,41.2156649211778,0.299805758319344,Estimable
GCDT_106,41.2156648633299,0.299805750994255,Estimable
GCDT_107,41.2156649948159,0.299805749919218,Estimable
GCDT_108,41.2156648724339,0.29980575403699,Estimable
GCDT_109,41.2156650680707,0.299805750679185,Estimable
GCDT_110,41.2156649508098,0.299805751895787,Estimable
GCDT_111,41.2156648416785,0.29980575144448,Estimable
GCDT_112,41.215665071527,0.29980575053808,Estimable
GCDT_113,41.215665172985,0.29980575213064,Estimable
GCDT_114,41.2156650729386,0.299805750218674,Estimable
GCDT_115,41.2156650629465,0.299805752147875,Estimable
GCDT_116,41.2156648736994,0.299805753563805,Estimable
GCDT_117,41.215665015217,0.299805750231453,Estimable
GCDT_118,41.2156649211778,0.299805758319344,Estimable
GCDT_119,41.2156649159442,0.2998057490725,Estimable
GCDT_120,41.215665143573,0.299805755037467,Estimable
GCDT_121,41.2156645353749,0.299805751640826,Estimable
GCDT_122,41.215664888878,0.299805747957224,Estimable
GCDT_123,41.2156650807241,0.299805750474545,Estimable
GCDT_124,41.2156650109167,0.299805750846741,Estimable
GCDT_125,41.2156650900512,0.299805749490943,Estimable
GCDT_126,41.2156649211778,0.299805758319344,Estimable
GCDT_127,41.2156652746662,0.299805751449282,Estimable
GCDT_128,41.2156651313288,0.299805749618401,Estimable
GCDT_129,41.2156648112052,0.299805749369591,Estimable
GCDT_130,41.2156652148154,0.299805749308083,Estimable
GCDT_131,41.2156650164992,0.29980574955684,Estimable
GCDT_132,41.215664909841,0.299805751001557,Estimable
