Genotype,predicted.value,std.error,status
AMADEUS,44.9155440396699,1.67874653598521,Estimable
DOR 390,41.6201719144619,3.53807202666612,Estimable
G40056,39.1163405547971,1.66734354964541,Estimable
G40111,41.6201719144619,3.53807202666613,Estimable
G40287,41.2066990356436,1.70327617390462,Estimable
GCDT_001,43.0838484753421,1.67901410133965,Estimable
GCDT_002,39.9683636005795,1.68952025150946,Estimable
GCDT_003,39.6777154682313,1.69148449707954,Estimable
GCDT_004,39.4641573971992,1.65470474039828,Estimable
GCDT_005,42.6247125704403,1.69422699365435,Estimable
GCDT_006,44.60639565899,1.71825938225057,Estimable
GCDT_007,36.4536876047529,1.69454893946305,Estimable
GCDT_008,39.6965951205126,1.62359448774651,Estimable
GCDT_009,43.7393128102254,1.68602414966478,Estimable
GCDT_010,40.2152023129356,1.68266535173176,Estimable
GCDT_011,45.5618968468639,1.68476694213906,Estimable
GCDT_012,41.6201719144619,3.53807202666613,Estimable
GCDT_013,42.090325309624,1.68751395015792,Estimable
GCDT_014,40.7394185397839,1.63031670477844,Estimable
GCDT_015,44.2813712066996,1.75128098694304,Estimable
GCDT_016,42.6209298110257,1.68947012413231,Estimable
GCDT_017,36.6785914551127,1.68372541761492,Estimable
GCDT_018,46.9547244219616,1.72760366721651,Estimable
GCDT_019,37.8416904632022,1.73310479273807,Estimable
GCDT_020,41.6201719144619,3.53807202666613,Estimable
GCDT_021,41.5913500860678,1.65732521344605,Estimable
GCDT_022,44.6682557447493,1.66704426383989,Estimable
GCDT_023,45.6119824467484,1.67553006418491,Estimable
GCDT_024,44.9344205524033,1.71337338723324,Estimable
GCDT_025,44.131734469732,1.66553599132881,Estimable
GCDT_026,46.2610086663407,1.67806480420025,Estimable
GCDT_027,36.8198942078557,1.67119495342968,Estimable
GCDT_028,46.7160395792615,1.70984517269651,Estimable
GCDT_029,41.9102786885247,1.73149714505655,Estimable
GCDT_030,37.6126808012296,1.64823181264432,Estimable
GCDT_031,41.6201719144619,3.53807202666612,Estimable
GCDT_032,42.3101737937084,1.6589615551511,Estimable
GCDT_033,41.2442832123185,1.66602760695494,Estimable
GCDT_034,43.8429539804594,1.65812786444765,Estimable
GCDT_035,38.774650917631,1.65859725699869,Estimable
GCDT_036,42.089108262885,1.64129291084846,Estimable
GCDT_037,45.6490848181494,1.68331771316591,Estimable
GCDT_038,43.0490714954282,1.66890843849651,Estimable
GCDT_039,44.1928240507031,1.73824564121045,Estimable
GCDT_040,39.9055814149436,1.66320896300677,Estimable
GCDT_041,39.3364012778904,1.71956599991319,Estimable
GCDT_042,41.7708311194352,1.66881345521271,Estimable
GCDT_043,41.6201719144619,3.53807202666613,Estimable
GCDT_044,40.6628912857727,1.70710089327703,Estimable
GCDT_045,43.4132898439208,1.71452733246489,Estimable
GCDT_046,41.6201719144619,3.53807202666612,Estimable
GCDT_047,39.6205249896288,1.66529443200948,Estimable
GCDT_048,36.3966504729064,1.67006105342497,Estimable
GCDT_049,43.9571994920533,1.76667896686368,Estimable
GCDT_050,45.4678790305429,1.67588321404705,Estimable
GCDT_051,43.3571884568886,1.67864763820341,Estimable
GCDT_052,35.8085670252813,1.63272288959579,Estimable
GCDT_053,42.6868047940752,1.70748513834531,Estimable
GCDT_054,42.6121551134005,1.67254775425089,Estimable
GCDT_055,44.5283266279796,1.70566047919616,Estimable
GCDT_056,38.321960298032,1.66858520834868,Estimable
GCDT_057,38.5087532980426,1.65289607907468,Estimable
GCDT_058,42.3784486401048,1.67690403774843,Estimable
GCDT_059,40.151329757661,1.71251659858974,Estimable
GCDT_060,39.752791802652,1.71935843129767,Estimable
GCDT_061,42.0892971528697,1.65993723011972,Estimable
GCDT_062,40.8524361385417,1.71466037437969,Estimable
GCDT_063,43.8074830595402,1.73196182246873,Estimable
GCDT_064,42.5703026952829,1.7221450743613,Estimable
GCDT_065,39.8126430278773,1.64285821675314,Estimable
GCDT_066,44.219838136688,1.71525128630194,Estimable
GCDT_067,43.7811641662055,1.76924362022484,Estimable
GCDT_068,41.968514335538,1.68433265855041,Estimable
GCDT_069,36.6725510949628,1.75449932796542,Estimable
GCDT_070,36.0437921747331,1.63777265680237,Estimable
GCDT_071,32.6668763908788,1.68508447188203,Estimable
GCDT_072,41.0231518621551,1.71832181230194,Estimable
GCDT_073,44.2062083291186,1.67219468170835,Estimable
GCDT_074,47.2608448671017,1.66926618007429,Estimable
GCDT_075,40.2619139105774,1.66324005911884,Estimable
GCDT_076,45.830388505891,1.7271616368212,Estimable
GCDT_077,41.6201719144619,3.53807202666613,Estimable
GCDT_078,43.8010140351712,1.68058731220734,Estimable
GCDT_079,42.5562530041014,1.68313844065392,Estimable
GCDT_080,44.2975779058227,1.66678706688813,Estimable
GCDT_081,44.8685959193577,1.77626638140381,Estimable
GCDT_082,40.0198997208479,1.68629748210759,Estimable
GCDT_083,42.1101225277167,1.63724493622587,Estimable
GCDT_084,45.2205890350081,1.69499950819387,Estimable
GCDT_085,38.4027536025197,1.67766062823147,Estimable
