Genotype,predicted.value,std.error,status
AMADEUS,39.4989603259447,0.289059886972916,Estimable
DOR 390,39.4989605372856,0.289059887559658,Estimable
G40056,39.4989602861737,0.289059888650672,Estimable
G40111,39.4989600163272,0.289059889183412,Estimable
G40287,39.4989605827412,0.289059886217231,Estimable
GCDT_001,39.4989601947028,0.289059886713137,Estimable
GCDT_002,39.4989600030401,0.289059886658774,Estimable
GCDT_003,39.4989601589166,0.289059887027645,Estimable
GCDT_004,39.4989601200779,0.289059888214573,Estimable
GCDT_005,39.4989602483759,0.289059894934253,Estimable
GCDT_006,39.4989604933825,0.289059885540707,Estimable
GCDT_007,39.4989600822583,0.289059886742993,Estimable
GCDT_008,39.4989601426861,0.28905988636797,Estimable
GCDT_009,39.4989602897649,0.289059886413416,Estimable
GCDT_010,39.4989600217051,0.289059885252557,Estimable
GCDT_011,39.4989603035397,0.28905988580631,Estimable
GCDT_012,39.4989603717372,0.289059885092906,Estimable
GCDT_013,39.4989602409174,0.289059888686717,Estimable
GCDT_014,39.4989599278758,0.289059886328964,Estimable
GCDT_015,39.4989602483759,0.289059894934253,Estimable
GCDT_016,39.4989599746942,0.289059888109071,Estimable
GCDT_017,39.4989602258103,0.28905988986284,Estimable
GCDT_018,39.4989602539017,0.289059886656847,Estimable
GCDT_019,39.4989603097991,0.289059886514189,Estimable
GCDT_020,39.4989603867864,0.28905988773006,Estimable
GCDT_021,39.4989604445587,0.289059888294882,Estimable
GCDT_022,39.4989604364721,0.289059885657026,Estimable
GCDT_023,39.4989601556687,0.289059888633694,Estimable
GCDT_024,39.4989602483759,0.289059894934253,Estimable
GCDT_025,39.498960564054,0.28905988856042,Estimable
GCDT_026,39.4989601736059,0.289059886752861,Estimable
GCDT_027,39.4989598536618,0.289059888185757,Estimable
GCDT_028,39.4989604732943,0.289059888212496,Estimable
GCDT_029,39.4989601351011,0.289059888466685,Estimable
GCDT_030,39.4989599363814,0.289059887086518,Estimable
GCDT_031,39.4989602304447,0.289059887285263,Estimable
GCDT_032,39.498960177821,0.289059888228782,Estimable
GCDT_033,39.4989603652617,0.289059888956645,Estimable
GCDT_034,39.4989604781107,0.289059888077783,Estimable
GCDT_035,39.4989601452839,0.289059888506741,Estimable
GCDT_036,39.4989603902015,0.289059889358525,Estimable
GCDT_037,39.4989601970535,0.289059886717176,Estimable
GCDT_038,39.4989603087195,0.28905988952162,Estimable
GCDT_039,39.4989602957897,0.289059887553927,Estimable
GCDT_040,39.4989604730256,0.289059886278984,Estimable
GCDT_041,39.4989602741702,0.289059885879395,Estimable
GCDT_042,39.4989600506803,0.289059886508854,Estimable
GCDT_043,39.4989602483759,0.289059894934253,Estimable
GCDT_044,39.4989604175757,0.289059885832996,Estimable
GCDT_045,39.4989602265237,0.289059886853391,Estimable
GCDT_046,39.4989604323558,0.289059887006995,Estimable
GCDT_047,39.4989599957718,0.28905988724884,Estimable
GCDT_048,39.4989598793048,0.289059887026991,Estimable
GCDT_049,39.4989603796649,0.289059886185602,Estimable
GCDT_050,39.4989605175691,0.289059886320621,Estimable
GCDT_051,39.4989605439418,0.289059885403931,Estimable
GCDT_052,39.4989598405153,0.289059886516906,Estimable
GCDT_053,39.4989600452331,0.289059885624506,Estimable
GCDT_054,39.4989602193474,0.289059886479465,Estimable
GCDT_055,39.4989603314948,0.289059886685916,Estimable
GCDT_056,39.4989601188701,0.289059885574413,Estimable
GCDT_057,39.498960168414,0.289059886140848,Estimable
GCDT_058,39.4989600708462,0.289059887203731,Estimable
GCDT_059,39.4989602483759,0.289059894934253,Estimable
GCDT_060,39.4989604265806,0.289059885782859,Estimable
GCDT_061,39.498960511305,0.289059887019265,Estimable
GCDT_062,39.4989602483759,0.289059894934253,Estimable
GCDT_063,39.4989602462336,0.289059887627642,Estimable
GCDT_064,39.4989602483759,0.289059894934253,Estimable
GCDT_065,39.4989598558964,0.289059888891841,Estimable
GCDT_066,39.4989602483759,0.289059894934253,Estimable
GCDT_067,39.4989603100778,0.289059887776958,Estimable
GCDT_068,39.4989600659994,0.289059884993504,Estimable
GCDT_069,39.4989600749387,0.289059885702666,Estimable
GCDT_070,39.4989599667196,0.289059889586314,Estimable
GCDT_071,39.4989602483759,0.289059894934253,Estimable
GCDT_072,39.4989603634818,0.289059887712165,Estimable
GCDT_073,39.4989604347937,0.28905988654397,Estimable
GCDT_074,39.4989603988792,0.2890598881039,Estimable
GCDT_075,39.4989598429631,0.289059888176015,Estimable
GCDT_076,39.498960476676,0.289059886146812,Estimable
GCDT_077,39.4989603900005,0.289059886776241,Estimable
GCDT_078,39.4989603258384,0.289059886809122,Estimable
GCDT_079,39.4989602266292,0.289059887970807,Estimable
GCDT_080,39.4989603973086,0.289059886949364,Estimable
GCDT_081,39.4989604729812,0.289059885881159,Estimable
GCDT_082,39.4989603172805,0.289059886828593,Estimable
GCDT_083,39.4989604868252,0.289059887532533,Estimable
GCDT_085,39.4989600702599,0.289059887299677,Estimable
GCDT_086,39.4989605326724,0.289059886763623,Estimable
GCDT_087,39.4989599495684,0.289059888109296,Estimable
GCDT_088,39.4989601203914,0.289059888187593,Estimable
GCDT_089,39.4989602524766,0.289059887754824,Estimable
GCDT_090,39.4989600880354,0.289059886539808,Estimable
GCDT_091,39.4989602645369,0.289059888117597,Estimable
GCDT_092,39.4989599164973,0.289059888321864,Estimable
GCDT_093,39.4989604604275,0.289059886021451,Estimable
GCDT_094,39.4989601552876,0.289059887110021,Estimable
GCDT_095,39.4989601768687,0.28905988629832,Estimable
