Genotype,predicted.value,std.error,status
AMADEUS,34.161347845486,0.640055981853717,Estimable
DOR 390,35.1616780899651,0.640225814236477,Estimable
G40056,34.7505535307012,0.639876939517651,Estimable
G40111,38.0209272787184,0.640466521666778,Estimable
G40287,34.2412294776954,3.13893515532506,Estimable
GCDT_001,35.4705177770501,0.639876368693561,Estimable
GCDT_002,27.2901988292658,0.640036472290581,Estimable
GCDT_003,27.9297666751062,0.640020292524665,Estimable
GCDT_004,34.8190653129836,0.639904807784516,Estimable
GCDT_005,31.1421267171679,0.640530230157039,Estimable
GCDT_006,36.5717777610144,0.640287662199649,Estimable
GCDT_007,34.0077917710706,0.640550805894643,Estimable
GCDT_008,34.4306549168126,0.639881678399942,Estimable
GCDT_009,33.3409842554471,0.639933908728961,Estimable
GCDT_010,28.3086201817301,0.640775244050954,Estimable
GCDT_011,33.7005448422409,0.639876900032219,Estimable
GCDT_012,34.6396563387366,0.640060983668315,Estimable
GCDT_013,36.6000184448093,0.63993653225291,Estimable
GCDT_014,26.7603847260313,0.639880046771657,Estimable
GCDT_015,29.4117122017268,0.640245852401916,Estimable
GCDT_016,28.8798521316648,0.639922997497722,Estimable
GCDT_017,32.3798717781016,0.639984743134396,Estimable
GCDT_018,36.2910182601219,0.639942239859669,Estimable
GCDT_019,33.0530082205024,0.641463728530683,Estimable
GCDT_020,31.990237398775,0.63989745025559,Estimable
GCDT_022,34.24122856375,3.13893513725309,Estimable
GCDT_023,35.2304589981644,0.640161469058815,Estimable
GCDT_024,34.0205025358153,0.640179587873404,Estimable
GCDT_025,33.6387579915735,0.640652782897368,Estimable
GCDT_026,39.9604160159003,0.639878297789882,Estimable
GCDT_028,34.2412293606489,3.13893513866854,Estimable
GCDT_029,33.919288543478,0.640252786945633,Estimable
GCDT_030,33.9118941932146,0.640354599476963,Estimable
GCDT_031,31.9486440907533,0.64077523085787,Estimable
GCDT_032,35.1988651285663,0.639948801726704,Estimable
GCDT_033,35.6187801278447,0.63997833561659,Estimable
GCDT_034,37.1197493300317,0.64002035154407,Estimable
GCDT_035,33.979601359774,0.639886212852,Estimable
GCDT_036,35.3005177903769,0.639876315422739,Estimable
GCDT_037,33.8030060521511,0.641463640173138,Estimable
GCDT_038,36.8909292574638,0.640466491993882,Estimable
GCDT_039,34.749933665458,0.639947264312188,Estimable
GCDT_040,33.0623387382493,0.640733212860556,Estimable
GCDT_041,28.9998384230175,0.639996036581374,Estimable
GCDT_042,34.2412295390075,3.1389349239563,Estimable
GCDT_043,35.1918536599548,0.64033177287978,Estimable
GCDT_044,36.2898543830592,0.639984640221218,Estimable
GCDT_045,32.6487911187391,0.640623757589678,Estimable
GCDT_046,32.6293372897046,0.639877453023112,Estimable
GCDT_047,32.6098187291644,0.63999593491603,Estimable
GCDT_048,33.2797322903005,0.639903961319386,Estimable
GCDT_049,34.383007315907,0.64146364388319,Estimable
GCDT_050,33.3110798175159,0.639960429342467,Estimable
GCDT_051,33.690346863338,0.63988251660189,Estimable
GCDT_052,36.7297983041898,0.63991615797879,Estimable
GCDT_053,35.7794842696014,0.640139754574585,Estimable
GCDT_054,35.750449829436,0.639877045640501,Estimable
GCDT_055,32.3601156362156,0.639998766991315,Estimable
GCDT_056,36.5492845129758,0.640252892129603,Estimable
GCDT_057,33.5497853718832,0.640007892384913,Estimable
GCDT_058,35.4285703309851,0.640052531101233,Estimable
GCDT_059,36.7099318327102,0.639947309556281,Estimable
GCDT_060,35.370482750957,0.639876390060164,Estimable
GCDT_061,30.7398621369906,0.639930530753236,Estimable
GCDT_062,40.1515783975489,0.640169025778678,Estimable
GCDT_063,32.6192565201968,0.640273703877155,Estimable
GCDT_064,35.6094366905149,0.63987646406241,Estimable
GCDT_065,39.9692966408139,0.639878971446305,Estimable
GCDT_066,32.711543335741,0.64015126510073,Estimable
GCDT_067,33.3930063474306,0.641463603771584,Estimable
GCDT_068,33.8895970422174,0.639886054415439,Estimable
GCDT_069,32.6078545925576,0.640496972185593,Estimable
GCDT_070,35.7796391964904,0.639889712151642,Estimable
GCDT_071,27.449332966999,0.639877485356422,Estimable
GCDT_072,32.9792191158607,0.639886660938914,Estimable
GCDT_073,33.7809833005736,0.639933950902074,Estimable
GCDT_074,31.517880178718,0.640470896450719,Estimable
GCDT_075,29.49003231186,0.63997656453528,Estimable
GCDT_076,29.7214988374661,0.640117300188176,Estimable
GCDT_077,30.937343571095,0.640955136371433,Estimable
GCDT_078,35.2021104307825,0.640530183211917,Estimable
GCDT_079,35.949731158667,0.639903820820046,Estimable
GCDT_080,34.2412307320751,3.13893514145186,Estimable
GCDT_081,35.4599827688808,0.639945130977338,Estimable
GCDT_082,37.1609159494258,0.639918968235818,Estimable
GCDT_083,37.1502930255893,0.640079145528565,Estimable
GCDT_084,34.4501815424905,0.640023322444733,Estimable
GCDT_085,33.2430059056885,0.641463653197588,Estimable
GCDT_086,36.9404361943017,0.640143849490807,Estimable
GCDT_089,35.3600690623918,0.639987316435787,Estimable
GCDT_090,34.0207830828586,0.639895768937327,Estimable
GCDT_091,30.0318776126716,0.640354509842369,Estimable
GCDT_092,30.5301327280433,0.640010699883848,Estimable
GCDT_093,29.7696204808002,0.640075570252208,Estimable
GCDT_094,32.4083066473765,0.640182901348258,Estimable
GCDT_095,27.9621110465043,0.640530169080105,Estimable
GCDT_096,30.8095206029853,0.640122816074155,Estimable
GCDT_097,34.1301867685216,0.639902607866995,Estimable
GCDT_098,33.3702505738498,0.639892806102084,Estimable
GCDT_099,37.6489656275615,0.639924237455409,Estimable
GCDT_100,34.2412287778405,3.13893503368865,Estimable
GCDT_101,34.0306356662967,0.639879539649943,Estimable
GCDT_102,39.9501238244742,0.639914548193417,Estimable
GCDT_103,37.9113130621875,0.640042158846176,Estimable
GCDT_104,32.1112476637843,0.640016026046352,Estimable
GCDT_105,38.5486260723401,0.640775111684576,Estimable
GCDT_106,34.0896196699833,0.640075552162231,Estimable
GCDT_107,37.4605136045515,0.639876409333985,Estimable
GCDT_108,34.2412288413742,3.13893513904996,Estimable
GCDT_109,28.5005162372045,0.640179632223083,Estimable
GCDT_110,32.5596997770745,0.639898677825315,Estimable
GCDT_111,36.8730071069725,0.641463604254933,Estimable
GCDT_112,32.3800288242067,0.639976468154979,Estimable
GCDT_113,31.5930099508422,0.64146371633302,Estimable
GCDT_114,38.7591896283015,0.640316883287847,Estimable
GCDT_115,30.6102500672076,0.640050085179766,Estimable
GCDT_116,33.8396288994989,0.639889659165712,Estimable
GCDT_117,35.3087373845478,0.63998939321678,Estimable
GCDT_118,29.9799087089904,0.639938567975223,Estimable
GCDT_119,32.1830073158271,0.641463666722001,Estimable
GCDT_120,32.5895327711206,0.639880712256933,Estimable
GCDT_122,35.0707478980028,0.639891449958616,Estimable
GCDT_123,33.5515081937472,0.640133967115698,Estimable
GCDT_124,40.5907582373515,0.639891426288053,Estimable
GCDT_125,34.2493528346427,0.640212928600965,Estimable
GCDT_126,37.0087223705107,0.640682560617091,Estimable
GCDT_128,33.6700009694868,0.639966102061179,Estimable
GCDT_129,37.9089660432457,0.639924247604205,Estimable
GCDT_130,37.2330011998822,0.641463723985506,Estimable
GCDT_131,35.9281772271815,0.640261365472938,Estimable
GCDT_132,32.5099219643908,0.639963859511023,Estimable
GCDT_134,32.6096633054227,0.639893804928968,Estimable
