Genotype,predicted.value,std.error,status
AMADEUS,47.6357567149421,1.06780592022922,Estimable
DOR 390,41.694576695856,4.51717549644066,Estimable
G40056,40.0538235200902,1.06622166571622,Estimable
G40111,28.6901593008326,1.09517699471122,Estimable
G40287,41.6945766958621,4.51717549644041,Estimable
GCDT_001,44.364573834135,1.12720329700838,Estimable
GCDT_002,38.6427910728291,1.072237878932,Estimable
GCDT_003,45.9953907303821,1.11416629286545,Estimable
GCDT_004,39.4440379168569,1.06157033325126,Estimable
GCDT_005,41.6945766958574,4.51717549644092,Estimable
GCDT_006,46.6349850034784,1.08574297320912,Estimable
GCDT_007,32.8660308453644,1.06543346820231,Estimable
GCDT_008,42.3826427738617,1.04577507576456,Estimable
GCDT_009,44.9956720171225,1.07752850231241,Estimable
GCDT_010,40.4472104976138,1.06914384830998,Estimable
GCDT_011,43.6279181213146,1.09018600741833,Estimable
GCDT_012,41.6945766958611,4.51717549644092,Estimable
GCDT_013,41.2058995807323,1.06891109920622,Estimable
GCDT_014,41.4126258405659,1.08455256737432,Estimable
GCDT_015,46.5055928861653,1.08867979094978,Estimable
GCDT_016,43.3047375543905,1.13955844073823,Estimable
GCDT_017,35.9461102335016,1.05473942039034,Estimable
GCDT_018,48.7861606176411,1.06928060195823,Estimable
GCDT_019,35.9237299097076,1.10246720509229,Estimable
GCDT_020,32.6322865105854,1.09655718185278,Estimable
GCDT_021,42.6641782517998,1.09292400513443,Estimable
GCDT_022,46.5798983704923,1.08987786118467,Estimable
GCDT_023,40.8968127870044,1.10537469504735,Estimable
GCDT_024,39.659167271768,1.07313413598968,Estimable
GCDT_025,45.3837025849092,1.13563195651559,Estimable
GCDT_026,46.809241168337,1.10500298267592,Estimable
GCDT_027,32.4686853307556,1.07012036313598,Estimable
GCDT_028,41.6945766958583,4.5171754964403,Estimable
GCDT_029,39.4224472391732,1.05434671867158,Estimable
GCDT_030,41.2818107223309,1.1806342098132,Estimable
GCDT_031,31.8979931782882,1.03690879214477,Estimable
GCDT_032,38.578502776383,1.16747195624164,Estimable
GCDT_033,39.0552742033189,1.07531613324564,Estimable
GCDT_034,37.9167414190042,1.0600999732281,Estimable
GCDT_036,37.7197851899735,1.09882105820978,Estimable
GCDT_037,38.0959217643377,1.18408775467811,Estimable
GCDT_038,42.4479243468203,1.10601002261253,Estimable
GCDT_039,41.1915573341903,1.10942610480828,Estimable
GCDT_040,41.6945766958594,4.51717549644037,Estimable
