Genotype,predicted.value,std.error,status
AMADEUS,39.8465819823211,1.08092472880089,Estimable
DOR 390,43.0846493198946,1.12684050381336,Estimable
G40056,33.0701418499726,1.09051129313097,Estimable
G40111,35.5978499028326,1.10720753202961,Estimable
G40287,36.9014215729582,3.68929230435614,Estimable
GCDT_001,38.2255582141274,1.08499020415406,Estimable
GCDT_002,34.7177984503158,1.0802769952101,Estimable
GCDT_003,37.238380763496,1.09623488039207,Estimable
GCDT_004,32.3221569309359,1.06435550694903,Estimable
GCDT_005,38.7514438183792,1.2296939937226,Estimable
GCDT_006,32.2741191928614,1.13054117628442,Estimable
GCDT_007,38.7320359529559,1.13049459416665,Estimable
GCDT_008,36.0154312273649,1.09550522719714,Estimable
GCDT_009,36.7100868117964,1.09274072968864,Estimable
GCDT_010,33.2160845953628,1.0958085926268,Estimable
GCDT_011,36.9014215729574,3.68929230435608,Estimable
GCDT_012,39.9902206943784,1.08943746327779,Estimable
GCDT_013,31.5345489877208,1.07871068025431,Estimable
GCDT_014,35.2347506165007,1.09217932048384,Estimable
GCDT_015,42.6058594473047,1.13584731515365,Estimable
GCDT_016,30.6373896870219,1.13968995420205,Estimable
GCDT_017,33.6069192811306,1.12768107826553,Estimable
GCDT_018,36.7886584754695,1.25146580971072,Estimable
GCDT_019,36.2804790322615,1.07282065874478,Estimable
GCDT_020,39.7414464385977,1.10738230928533,Estimable
GCDT_021,36.93737610888,1.08318808211042,Estimable
GCDT_022,42.2979478509966,1.10081449804145,Estimable
GCDT_023,42.5760521139561,1.08709218129632,Estimable
GCDT_024,34.2543132053067,1.11200025517,Estimable
GCDT_025,43.4977781068835,1.08837716336844,Estimable
GCDT_026,35.2680692069364,1.13798294241977,Estimable
GCDT_027,36.9014215729563,3.68929230435607,Estimable
GCDT_028,40.0712290750539,1.12256361006372,Estimable
GCDT_029,35.7468034841476,1.10882904048068,Estimable
GCDT_030,31.6358160880631,1.1919926426939,Estimable
GCDT_031,38.4229659190115,1.13867804034164,Estimable
GCDT_032,37.5032787770853,1.07116356796928,Estimable
GCDT_033,35.5182026869107,1.10205750054816,Estimable
GCDT_034,43.4759311866667,1.20393479155703,Estimable
GCDT_035,36.5362056495161,1.15764739580985,Estimable
GCDT_036,38.8447664250929,1.07327858136036,Estimable
GCDT_037,38.5020108004182,1.11628235876467,Estimable
GCDT_038,37.9430799400206,1.07514245365181,Estimable
GCDT_039,37.4623802659775,1.11128230629883,Estimable
GCDT_040,37.4914430355746,1.08180276225429,Estimable
GCDT_041,36.9014215729565,3.68929230435606,Estimable
GCDT_042,38.161519591235,1.08486152922558,Estimable
GCDT_043,30.3333135234778,1.11878095374069,Estimable
GCDT_044,37.8516357006915,1.06945770863429,Estimable
GCDT_045,37.6127183768691,1.06464246936812,Estimable
GCDT_046,39.289299243451,1.07339769235433,Estimable
GCDT_047,35.8878519995767,1.09562735919878,Estimable
GCDT_048,30.5895574991756,1.11817993613069,Estimable
GCDT_049,42.8566540414709,1.06709073206409,Estimable
GCDT_050,37.2041904354884,1.21715428740291,Estimable
GCDT_051,36.9014215729569,3.68929230435607,Estimable
GCDT_052,32.4929685982181,1.09498941907357,Estimable
GCDT_053,32.8930164871956,1.10841980331782,Estimable
GCDT_054,36.5408823171537,1.10503355566197,Estimable
GCDT_055,34.131511804314,1.17570680450956,Estimable
GCDT_056,41.6672423560777,1.08486186894779,Estimable
GCDT_057,37.617383093009,1.08259494262833,Estimable
GCDT_058,43.6818612011994,1.06575110899366,Estimable
GCDT_059,36.901421572958,3.68929230435616,Estimable
GCDT_060,40.2509045765437,1.12065588632062,Estimable
GCDT_061,42.3399410417183,1.07247977507875,Estimable
GCDT_062,41.4631887774121,1.12486905091054,Estimable
GCDT_063,33.8121788276028,1.08263994545197,Estimable
GCDT_064,38.1413378110623,1.09258099346687,Estimable
GCDT_065,32.5701819038047,1.07891859919586,Estimable
GCDT_066,37.2789700635913,1.09025108186067,Estimable
GCDT_067,39.1766403082834,1.08289743188747,Estimable
GCDT_068,32.7980550531453,1.07808177117381,Estimable
GCDT_069,40.4138636672332,1.08838864376072,Estimable
GCDT_070,29.3237798963049,1.10040652146045,Estimable
GCDT_071,33.7132545319541,1.07359683867765,Estimable
GCDT_072,34.0385583063147,1.12464726642618,Estimable
GCDT_073,40.048827313438,1.1356839621376,Estimable
GCDT_074,35.5863674483897,1.09618883897634,Estimable
GCDT_075,30.7911724619733,1.12973755266344,Estimable
GCDT_076,41.8318356460137,1.12933190130811,Estimable
GCDT_077,37.8468589278387,1.12416477856913,Estimable
GCDT_078,37.178634727724,1.09760089233651,Estimable
GCDT_079,36.750520402274,1.10065083882103,Estimable
GCDT_080,38.3859680231503,1.07285405811984,Estimable
GCDT_081,40.3542570913636,1.07568475994602,Estimable
GCDT_082,35.8975837722681,1.19630291138365,Estimable
GCDT_083,40.016497794275,1.07210413511726,Estimable
GCDT_084,37.2093066747591,1.11211675060231,Estimable
GCDT_085,32.1507140543059,1.11834294124392,Estimable
GCDT_086,40.4011131216289,1.09240554142356,Estimable
GCDT_087,30.7090366855733,1.09842300163885,Estimable
GCDT_088,38.5115937600916,1.08323429053284,Estimable
GCDT_089,42.3958701482562,1.09613270516439,Estimable
GCDT_090,34.1148100588697,1.08918404327303,Estimable
GCDT_091,35.9479158980316,1.08069453446497,Estimable
GCDT_092,35.6551663943593,1.06159806986998,Estimable
GCDT_093,38.0431804224894,1.13596199860544,Estimable
GCDT_094,33.2228661509948,1.0660508195897,Estimable
GCDT_095,36.2741054370737,1.07251658182907,Estimable
GCDT_096,35.6424309964102,1.12594245817278,Estimable
GCDT_097,34.360143819106,1.07890878687738,Estimable
GCDT_098,43.099294374855,1.12901917700283,Estimable
GCDT_099,41.9493542803777,1.09664197738666,Estimable
GCDT_100,40.0173424455523,1.16469940083861,Estimable
GCDT_101,34.6772462032319,1.13513905601724,Estimable
GCDT_102,37.0635205909171,1.13597437513225,Estimable
GCDT_103,37.9172671024605,1.13837522548802,Estimable
GCDT_104,34.8286717053713,1.12818240020578,Estimable
GCDT_105,37.4671848302448,1.07031745002552,Estimable
GCDT_106,36.9014215729577,3.68929230435606,Estimable
GCDT_107,36.9014215729573,3.68929230435607,Estimable
GCDT_108,38.0209623295923,1.08156461281216,Estimable
GCDT_109,37.664027295099,1.13292816600151,Estimable
GCDT_110,41.5958886981065,1.13033748570218,Estimable
GCDT_111,33.2664424517763,1.14955850553733,Estimable
GCDT_112,43.2715911680468,1.07768143765099,Estimable
GCDT_113,36.5226553765933,1.09957787862242,Estimable
GCDT_114,34.7050643667842,1.07764108479029,Estimable
GCDT_115,36.7445788514132,1.12897979492033,Estimable
GCDT_116,35.9082784792158,1.09259090515043,Estimable
GCDT_117,32.905022912665,1.13861811139236,Estimable
GCDT_118,28.2646904259039,1.11854220309646,Estimable
GCDT_119,35.3634553870923,1.11121093528056,Estimable
GCDT_120,31.6667358397386,1.09548618127567,Estimable
GCDT_121,30.6342585703077,1.10820008154669,Estimable
GCDT_122,40.5775905837007,1.06651559509118,Estimable
GCDT_123,37.810751399507,1.20751318114012,Estimable
GCDT_124,42.9515895544544,1.08847961678641,Estimable
GCDT_125,31.8492710445248,1.06815222016948,Estimable
GCDT_126,36.9014215729559,3.68929230435606,Estimable
GCDT_127,36.9014215729556,3.68929230435607,Estimable
GCDT_128,35.5721889044497,1.08949176488344,Estimable
GCDT_129,30.985384721133,1.08634903638108,Estimable
GCDT_130,35.272099279976,1.0788385946245,Estimable
GCDT_131,40.6662851924018,1.12310400326553,Estimable
GCDT_132,37.2603241588319,1.09610480244996,Estimable
GCDT_133,38.1099742484155,1.0778141885173,Estimable
GCDT_134,33.0472051443309,1.07588789560995,Estimable
GCDT_135,36.0824603335068,1.08069923402498,Estimable
GCDT_136,34.3649721394469,1.10346455288425,Estimable
GCDT_137,35.8514398687845,1.25652858892781,Estimable
GCDT_138,35.8027079982596,1.06714878274521,Estimable
GCDT_139,37.3613986173055,1.09525784011665,Estimable
GCDT_140,34.5013065302327,1.09175858473455,Estimable
GCDT_141,38.5789407531372,1.10250332705779,Estimable
GCDT_142,33.8834005041955,1.1383155550921,Estimable
GCDT_143,35.176930858572,1.07758041496971,Estimable
GCDT_144,36.9014215729554,3.68929230435607,Estimable
GCDT_145,28.6150230053457,1.06828382962771,Estimable
GCDT_146,35.0201593532087,1.12120280722652,Estimable
GCDT_147,30.509391033879,1.13697375974218,Estimable
GCDT_148,34.5816935332023,1.09145576259892,Estimable
GCDT_149,36.5710576744254,1.11089008471881,Estimable
GCDT_150,34.7802168413007,1.17083256683666,Estimable
GCDT_151,38.6755055498883,1.06451515252617,Estimable
GCDT_152,40.9066112125065,1.11762261535888,Estimable
GCDT_153,34.0336732002624,1.09532801494639,Estimable
GCDT_154,36.5114998163242,1.07678443129866,Estimable
GCDT_155,40.1197501610198,1.06684416598584,Estimable
GCDT_156,37.6447088108885,1.11944062827282,Estimable
GCDT_157,43.7259948285832,1.07632244963885,Estimable
GCDT_158,38.4640677512398,1.14939418576795,Estimable
GCDT_159,34.0777565279282,1.10688533501829,Estimable
GCDT_160,38.9003200958495,1.08336382083552,Estimable
GCDT_161,35.0903460884704,1.13884570669427,Estimable
GCDT_162,35.1927318043439,1.08989931384841,Estimable
GCDT_163,39.0883146926406,1.11097189304648,Estimable
GCDT_164,34.4399823989397,1.12700518154063,Estimable
GCDT_165,35.9563313665052,1.07770261231914,Estimable
GCDT_166,34.9317648663223,1.12355387354034,Estimable
GCDT_167,34.1176710008457,1.09131604806295,Estimable
GCDT_168,40.7394028427998,1.06720956827706,Estimable
GCDT_169,36.4113916550614,1.11444744127707,Estimable
GCDT_170,32.3443712373268,1.14398242927775,Estimable
GCDT_171,33.8861445387601,1.06698526251007,Estimable
GCDT_172,37.802201878174,1.11277509477233,Estimable
GCDT_173,36.9072535189525,1.08398301919917,Estimable
GCDT_174,42.7213522607482,1.0718095998592,Estimable
GCDT_175,33.596705639726,1.07809432949352,Estimable
GCDT_176,37.4533110673954,1.09352304223644,Estimable
GCDT_177,41.9434845886631,1.11617582157864,Estimable
GCDT_178,39.8295552811786,1.10123307000804,Estimable
GCDT_179,42.8392387500444,1.12683404099495,Estimable
GCDT_180,36.2298720191682,1.11580861874988,Estimable
GCDT_181,33.4826854139792,1.1268192112344,Estimable
GCDT_182,34.1308762727721,1.14127810464041,Estimable
